traded_date,open_price,max_price,min_price,closing_price,volume
2016-05-29,0,0,0,7771.34000000000015,543491
2016-05-30,0,0,0,7764.6899999999996,364142000
2016-05-31,0,0,0,7742.61999999999989,301501000
2016-06-01,0,0,0,7642.5,192451000
2016-06-02,0,0,0,7626.88000000000011,193172000
2016-06-05,0,0,0,7407.40999999999985,280004000
2016-06-06,7407.40999999999985,7582.76000000000022,7456.18000000000029,7582.76000000000022,224445000
2016-06-07,7582.76000000000022,7696.76000000000022,7574.15999999999985,7671.6899999999996,251318000
2016-06-08,7671.6899999999996,8078.8100000000004,7663.25,8058.89000000000033,662811000
2016-06-09,0,0,0,8654.31999999999971,1081740000
2016-06-12,8654.31999999999971,8802.79000000000087,8550.98999999999978,8685.02000000000044,655128000
2016-06-13,0,0,0,8635.78000000000065,391208000
2016-06-13,8685.02000000000044,8719.15999999999985,8555.54000000000087,8635.78000000000065,391208000
2016-06-14,0,0,0,8748.30999999999949,405824000
2016-06-15,0,0,0,9015.35000000000036,679692000
2016-06-15,0,0,0,9015.35000000000036,679692000
2016-06-16,0,0,0,9345.8799999999992,1119240000
2016-06-16,0,0,0,9345.8799999999992,1119240000
2016-06-19,9345.8799999999992,9396.1200000000008,9110.96999999999935,9190.86000000000058,730042000
2016-06-20,9345.8799999999992,9213.65999999999985,9010.45999999999913,9062.52000000000044,499314000
2016-06-21,0,0,0,9236.21999999999935,531722000
2016-06-22,9236.21999999999935,9440.20000000000073,9238.71999999999935,9440.20000000000073,838561000
2016-06-23,0,0,0,9509.88999999999942,910572000
2016-06-26,9509.88999999999942,9547.51000000000022,9439.71999999999935,9479.61000000000058,489181000
2016-06-27,9479.61000000000058,9508.20000000000073,9382.34000000000015,9384.04000000000087,373757000
2016-06-28,9384.04000000000087,9435.46999999999935,9281.85000000000036,9421.79000000000087,494066000
2016-06-29,9421.79000000000087,9517.73999999999978,9426.3700000000008,9484.44000000000051,410542000
2016-06-30,9484.44000000000051,9784.73999999999978,9450.73999999999978,9553.11000000000058,569163000
2016-07-03,9553.11000000000058,9569.39999999999964,9300.43000000000029,9329.15999999999985,442077000
2016-07-04,9553.11000000000058,9331.72999999999956,9213.85000000000036,9250.36000000000058,301421000
2016-07-05,9250.36000000000058,9264.95999999999913,9133.09000000000015,9174.85000000000036,285349000
2016-07-06,9174.85000000000036,9257.96999999999935,9126.18000000000029,9137.43000000000029,292754000
2016-07-10,0,0,0,9089.27000000000044,362646000
2016-07-11,9089.27000000000044,9093.69000000000051,8867.20000000000073,8871.75,272334000
2016-07-12,8871.75,8888.3799999999992,8477.77000000000044,8774.54000000000087,284693000
2016-07-13,8774.54000000000087,8782.20999999999913,8568.8700000000008,8684.95999999999913,19962
2016-07-14,8684.95999999999913,8796.47999999999956,8684.15999999999985,8722.39999999999964,212575000
2016-07-17,8684.95999999999913,8757.21999999999935,8629.6200000000008,8674.21999999999935,179534000
2016-07-18,8674.21999999999935,9297.52000000000044,8589.60000000000036,9292.63999999999942,434646000
2016-07-19,9292.63999999999942,9419.17000000000007,9042.32999999999993,9052.45000000000073,410347000
2016-07-20,9052.45000000000073,9056.86000000000058,8923.64999999999964,8926.53000000000065,347964000
2016-07-21,8926.53000000000065,9134.53000000000065,8926.53000000000065,9052.09000000000015,254651000
2016-07-21,8926.53000000000065,9134.53000000000065,8926.53000000000065,9052.09000000000015,254651000
2016-07-25,0,0,0,9136.01000000000022,398452000
2016-07-26,9136.01000000000022,9217.35000000000036,9129.90999999999985,9167.61000000000058,0
2016-07-27,9167.61000000000058,9195.70999999999913,9110.95999999999913,9144.5,311587000
2016-07-28,9144.5,9230.02000000000044,9097.22999999999956,9148.14999999999964,251333000
2016-07-31,9148.14999999999964,9170.02000000000044,9077.42000000000007,9102.78000000000065,266454000
2016-08-01,9112.60000000000036,9121.90999999999985,8992.38999999999942,9038.6200000000008,207214000
2016-08-02,9038.6200000000008,9041.73999999999978,8890.22999999999956,8892.34000000000015,180547000
2016-08-03,8892.34000000000015,8909.57999999999993,8717.54999999999927,8858.52000000000044,291006000
2016-08-04,0,0,0,8559.02000000000044,250142000
2016-08-07,8559.02000000000044,8777.3700000000008,8482.85000000000036,8500.6200000000008,215001000
2016-08-08,8500.6200000000008,8510.30999999999949,7962.77999999999975,7962.77999999999975,153641000
2016-08-08,8500.6200000000008,8510.30999999999949,7962.77999999999975,7962.77999999999975,153641000
2016-08-09,7962.77999999999975,8474.17000000000007,7964.63000000000011,8474.17000000000007,38214300
2016-08-09,0,0,0,8474.17000000000007,38214300
2016-08-10,8485.1200000000008,8654.63999999999942,8423.42000000000007,8654.63999999999942,406309000
2016-08-11,8654.63999999999942,8686.31999999999971,8505.39999999999964,8592.25,154212000
2016-08-14,8592.25,8685.94000000000051,8318.39999999999964,8359.03000000000065,153011000
2016-08-15,0,0,0,8124.75,206067000
